Drug_Name,Target,earlist data,oldest date
methotrexate,Nocardiosis,"2022, 8, 16","2005, 7, 14"
methotrexate,Pericardial effusion,"2022, 5, 1","2000, 2, 1"
methotrexate,Pericarditis,"2022, 10, 27","2000, 11, 21"
methyldopa,Cardiac disorder,"2022, 11, 11","2002, 2, 21"
methyldopa,Cardiac failure congestive,"2021, 11, 18","2002, 5, 3"
methyldopa,Myocarditis,NA,#N/A
methyldopa,Pericarditis,NA,#N/A
methyldopa,Bradycardia,"2022, 9, 27","2000, 10, 18"
methylergometrine,Cardiac disorder,"2021, 10, 13","2000, 1, 11"
methylergometrine,Tachycardia,"2008, 10, 4","2004, 4, 10"
methylergometrine,Ventricular tachycardia,NA,#N/A
methylergometrine,Acute myocardial infarction,"2018, 11, 6","2002, 1, 5"
methylergometrine,Bradycardia,"2008, 10, 4","2008, 10, 4"
methylphenidate,Cardiac arrest,"2022, 2, 11","2003, 3, 8"
methylphenidate,Cardiac disorder,"2021, 12, 24","2009, 3, 20"
methylphenidate,Cardiac murmur,NA,#N/A
methylphenidate,Myocardial infarction,"2022, 8, 27","2005, 9, 30"
methylphenidate,Tachycardia,"2021, 2, 2","2000, 4, 11"
methylphenidate,Supraventricular tachycardia,"2021, 2, 2","2005, 9, 8"
methylphenidate,Sudden cardiac death,"2015, 5, 11","2006, 8, 24"
methylphenidate,Cardiac death,"2022, 11, 17","2002, 5, 11"
methylphenidate,Bradycardia,"2015, 7, 15","2008, 1, 10"
methylprednisolone,Hypertrophic cardiomyopathy,"2018, 4, 24","2004, 1, 30"
methylprednisolone,Cardiac disorder,"2022, 11, 23","2020, 8, 25"
methylprednisolone,Cardiomegaly,"2022, 8, 11","2000, 6, 16"
methylprednisolone,Cardiac failure,"2022, 11, 8","2016, 7, 6"
methylprednisolone,Tachycardia,"2022, 11, 19","2001, 6, 1"
methylprednisolone,Bradycardia,"2022, 10, 28","2000, 4, 11"
methysergide,Cardiac murmur,NA,#N/A
methysergide,Tachycardia,"2013, 12, 12","2000, 7, 6"
metoclopramide,Cardiac arrest,"2022, 1, 12","2002, 11, 29"
metoclopramide,Cardiac failure congestive,"2015, 12, 9","2001, 10, 19"
metoclopramide,Tachycardia,"2022, 6, 10","2000, 2, 11"
metoclopramide,Supraventricular tachycardia,"2011, 9, 28","2011, 9, 28"
metoclopramide,Ventricular tachycardia,"2022, 1, 25","2002, 2, 23"
metoclopramide,Bradycardia,"2022, 8, 27","2001, 6, 8"
metoclopramide,Cardio-respiratory arrest,"2022, 1, 12","2002, 7, 26"
metoprolol,Cardiac output decreased,"2021, 10, 23","2000, 8, 19"
metoprolol,Cardiac arrest,"2022, 6, 15","2000, 2, 15"
metoprolol,Cardiac disorder,"2022, 11, 22","2021, 3, 26"
metoprolol,Cardiac failure,"2022, 11, 30","2020, 2, 18"
metoprolol,Cardiac failure congestive,"2022, 11, 30","2020, 2, 1"
metoprolol,Cardiogenic shock,"2021, 5, 8","2000, 6, 22"
metoprolol,Tachycardia,"2022, 10, 27","2016, 2, 11"
metoprolol,Ventricular tachycardia,"2022, 9, 16","2009, 10, 3"
metoprolol,Acute myocardial infarction,"2022, 10, 15","2010, 9, 25"
metoprolol,Bradycardia,"2022, 11, 6","2008, 4, 9"
metoprolol,Cardiovascular disorder,"2022, 11, 22","2021, 9, 3"
mexiletine,Cardiac failure congestive,"2021, 12, 21","2001, 12, 4"
mexiletine,Cardiogenic shock,"2011, 11, 1","2011, 11, 1"
mexiletine,Bradycardia,"2021, 12, 21","2002, 9, 1"
mianserin,Cardiac arrest,"2015, 9, 1","2011, 11, 2"
mianserin,Cardiac disorder,"2020, 12, 12","2000, 10, 18"
mianserin,Cardiac failure,"2014, 2, 8","2003, 10, 17"
mianserin,Tachycardia,"2015, 8, 1","2002, 1, 5"
mianserin,Electrocardiogram QT prolonged,"2014, 5, 6","2008, 5, 7"
mianserin,Bradycardia,"2022, 9, 23","2005, 11, 30"
midodrine,Cardiac disorder,"2022, 11, 25","2000, 4, 6"
midodrine,Tachycardia,"2022, 10, 15","2000, 4, 6"
midodrine,Reflex bradycardia,"2021, 1, 20","2000, 1, 19"
midodrine,Bradycardia,"2022, 9, 29","2001, 2, 27"
milrinone,Ventricular tachycardia,"2022, 7, 30","2000, 2, 9"
milrinone,Non-sustained ventricular tachycardia,"2022, 7, 30","2022, 7, 30"
milrinone,Sustained ventricular tachycardia,"2022, 7, 30","2015, 5, 6"
mirtazapine,Cardiac disorder,"2022, 8, 6","2001, 7, 20"
mirtazapine,Cardiomegaly,NA,#N/A
mirtazapine,Myocardial infarction,"2020, 10, 17","2001, 3, 16"
mirtazapine,Tachycardia,"2022, 8, 6","2001, 2, 24"
mirtazapine,Bradycardia,"2021, 10, 14","2005, 11, 30"
mitoxantrone,Cardiac failure,"2021, 5, 15","2000, 6, 23"
mitoxantrone,Cardiac failure congestive,"2021, 5, 15","2000, 6, 16"
mitoxantrone,Myocardial infarction,"2012, 5, 17","2000, 6, 23"
mitoxantrone,Tachycardia,"2018, 11, 14","2007, 3, 14"
mitoxantrone,Sinus bradycardia,"2012, 7, 28","2000, 5, 8"
mitoxantrone,Myocardial ischaemia,"2021, 8, 17","2001, 9, 11"
mitoxantrone,Bradycardia,"2012, 7, 28","2000, 5, 8"
mitoxantrone,Electrocardiogram abnormal,"2022, 4, 29","2006, 10, 21"
mitoxantrone,Cardiotoxicity,"2022, 10, 11","2010, 4, 30"
mitoxantrone,Cardiomyopathy,"2021, 4, 27","2000, 3, 30"
moclobemide,Tachycardia,"2012, 9, 4","2000, 6, 13"
moclobemide,Bradycardia,"2012, 9, 4","2012, 9, 4"
modafinil,Cardiac arrest,"2022, 2, 11","2022, 2, 11"
modafinil,Cardiac disorder,"2022, 2, 25","2003, 6, 12"
modafinil,Tachycardia,"2022, 9, 1","2005, 10, 1"
modafinil,Myocardial ischaemia,"2018, 8, 15","2018, 8, 15"
modafinil,Bradycardia,"2013, 6, 13","2007, 4, 24"
modafinil,Electrocardiogram abnormal,"2007, 11, 13","2007, 11, 13"
morphine,Cardiac arrest,"2022, 11, 4","2000, 5, 16"
morphine,Tachycardia,"2022, 10, 18","2006, 6, 10"
morphine,Supraventricular tachycardia,"2019, 2, 6","2003, 5, 20"
morphine,Ventricular tachycardia,"2021, 2, 24","2000, 1, 7"
morphine,Bradycardia,"2022, 11, 28","2011, 8, 25"
morphine,Cardiovascular insufficiency,"2022, 9, 7","2000, 12, 22"
morphine,Cardiovascular disorder,"2022, 11, 22","2021, 1, 17"
morphine,Non-cardiogenic pulmonary oedema,"2012, 4, 26","2006, 7, 1"
moxifloxacin,Cardiovascular disorder,"2022, 10, 3","2018, 3, 10"
moxifloxacin,Cardiac arrest,"2022, 5, 22","2016, 12, 14"
moxifloxacin,Cardiac disorder,"2022, 10, 3","2017, 7, 18"
moxifloxacin,Cardiac failure,"2022, 6, 28","2006, 8, 10"
moxifloxacin,Cardiac failure congestive,"2022, 6, 28","2006, 8, 10"
moxifloxacin,Myocardial infarction,"2022, 1, 18","2008, 6, 7"
moxifloxacin,Tachycardia,"2022, 6, 26","2001, 2, 22"
moxifloxacin,Supraventricular tachycardia,"2009, 5, 8","2009, 5, 8"
moxifloxacin,Ventricular tachycardia,"2022, 6, 26","2001, 5, 5"
moxifloxacin,Electrocardiogram QT prolonged,"2022, 10, 3","2015, 10, 2"
moxifloxacin,Bradycardia,"2017, 8, 8","2001, 2, 17"
moxifloxacin,Electrocardiogram abnormal,"2022, 10, 3","2014, 7, 1"
moxifloxacin,Acute myocardial ischemia,"2018, 4, 24","2008, 6, 7"
moxifloxacin,Myocardial ischaemia,"2020, 12, 31","2006, 8, 15"
nabumetone,Myocardial infarction,"2017, 9, 9","2006, 5, 30"
nadolol,Cardiomegaly,"2014, 10, 29","2014, 10, 29"
nadolol,Cardiac failure,"2022, 3, 31","2001, 9, 29"
nadolol,Cardiac failure congestive,"2022, 3, 31","2001, 9, 29"
nadolol,Bradycardia,"2022, 5, 8","2000, 11, 15"
nalbuphine,Cardiac arrest,"2022, 4, 5","2022, 4, 5"
nalbuphine,Tachycardia,"2019, 4, 30","2005, 11, 23"
nalbuphine,Bradycardia,"2022, 10, 25","2018, 7, 3"
nalmefene,Cardiac disorder,"2015, 9, 24","2015, 9, 24"
nalmefene,Tachycardia,NA,#N/A
nalmefene,Bradycardia,NA,#N/A
naloxone,Cardiac arrest,"2022, 11, 30","2001, 9, 8"
naloxone,Cardiac disorder,"2022, 11, 30","2014, 6, 7"
naloxone,Tachycardia,"2022, 5, 2","2000, 6, 14"
naloxone,Ventricular tachycardia,"2021, 6, 29","2005, 7, 19"
naloxone,Cardiac fibrillation,"2021, 12, 6","2002, 9, 20"
naltrexone,Cardiac disorder,"2022, 2, 10","2003, 2, 7"
naltrexone,Cardiac failure congestive,"2022, 7, 19","2007, 10, 30"
naltrexone,Myocardial infarction,"2021, 6, 2","2001, 2, 17"
naltrexone,Tachycardia,"2020, 6, 19","2003, 9, 12"
naratriptan,Cardiac disorder,"2014, 10, 2","2009, 6, 23"
naratriptan,Cardiac murmur,NA,#N/A
naratriptan,Myocardial infarction,"2014, 10, 2","2014, 10, 2"
naratriptan,Ventricular tachycardia,NA,#N/A
naratriptan,Myocardial ischaemia,"2014, 10, 2","2000, 7, 13"
naratriptan,Bradycardia,NA,#N/A
naratriptan,Electrocardiogram abnormal,NA,#N/A
naratriptan,Electrocardiogram PR prolongation,NA,#N/A
naratriptan,Electrocardiogram QT corrected interval prolonged,NA,#N/A
naratriptan,Electrocardiogram QT prolonged,NA,#N/A
nefazodone,Cardiac failure congestive,"2020, 8, 14","2002, 1, 5"
nefazodone,Tachycardia,"2010, 11, 30","2004, 11, 13"
nefazodone,Sinus bradycardia,NA,#N/A
nefazodone,Bradycardia,"2003, 5, 8","2003, 5, 8"
neostigmine,Cardiovascular disorder,"2022, 6, 25","2000, 6, 10"
neostigmine,Cardiac arrest,"2022, 1, 13","2001, 4, 18"
neostigmine,Tachycardia,"2021, 10, 30","2000, 2, 26"
neostigmine,Bradycardia,"2022, 1, 13","2000, 3, 7"
nicardipine,Pericardial haemorrhage,NA,#N/A
nicardipine,Myocardial infarction,"2019, 5, 7","2001, 2, 24"
nicardipine,Pericarditis,NA,#N/A
nicardipine,Tachycardia,"2021, 12, 15","2000, 2, 2"
nicardipine,Supraventricular tachycardia,"2011, 8, 30","2011, 8, 30"
nicardipine,Ventricular tachycardia,"2020, 11, 24","2006, 10, 25"
nicardipine,Electrocardiogram ST segment depression,"2016, 5, 20","2016, 5, 20"
nicardipine,Electrocardiogram T wave inversion,"2016, 10, 19","2016, 10, 19"
nicardipine,Electrocardiogram abnormal,"2013, 7, 17","2001, 5, 4"
nifedipine,Cardiovascular disorder,"2022, 11, 28","2020, 9, 12"
nifedipine,Cardiac arrest,"2022, 9, 29","2000, 3, 29"
nifedipine,Cardiac disorder,"2022, 9, 29","2016, 7, 28"
nifedipine,Cardiac failure,"2022, 10, 29","2007, 4, 7"
nifedipine,Cardiac failure congestive,"2022, 10, 29","2006, 10, 3"
nifedipine,Cardiogenic shock,"2019, 4, 17","2001, 3, 27"
nifedipine,Tachycardia,"2022, 7, 9","2000, 1, 12"
nifedipine,Myocardial ischaemia,"2022, 10, 31","2007, 11, 22"
nifedipine,Bradycardia,"2022, 2, 15","2000, 4, 12"
nilutamide,Cardiac failure,"2017, 10, 11","2017, 10, 11"
nimodipine,Cardiac disorder,"2022, 9, 27","2000, 6, 27"
nimodipine,Cardiac failure congestive,"2022, 11, 3","2004, 9, 29"
nimodipine,Tachycardia,"2022, 8, 2","2005, 2, 9"
nimodipine,Bradycardia,"2020, 8, 19","2013, 4, 27"
nisoldipine,Cardiac failure congestive,"2004, 9, 29","2001, 11, 27"
nisoldipine,Myocardial infarction,"2003, 7, 16","2000, 7, 15"
nisoldipine,Tachycardia,"2000, 6, 27","2000, 6, 27"
nisoldipine,Supraventricular tachycardia,NA,#N/A
nisoldipine,Cardiac murmur,NA,#N/A
nizatidine,Ventricular tachycardia,NA,#N/A
norethisterone,Myocardial infarction,"2020, 1, 11","2000, 2, 1"
norfloxacin,Myocardial infarction,NA,#N/A
levonorgestrel,Cardiac disorder,"2020, 5, 20","2000, 2, 1"
nortriptyline,Myocardial infarction,"2015, 8, 8","2000, 5, 5"
nortriptyline,Tachycardia,"2020, 11, 3","2003, 9, 17"
nortriptyline,Ventricular tachycardia,"2020, 11, 3","2013, 2, 22"
nortriptyline,Electrocardiogram QRS complex,"2019, 4, 16","2019, 4, 16"
nortriptyline,Electrocardiogram QT corrected interval prolonged,"2009, 1, 15","2009, 1, 15"
nortriptyline,Electrocardiogram QT prolonged,"2020, 4, 8","2003, 12, 4"
repaglinide,Cardiovascular disorder,"2022, 11, 18","2000, 4, 4"
repaglinide,Cardiac disorder,"2021, 7, 6","2004, 9, 29"
repaglinide,Cardiac failure congestive,"2021, 7, 6","2004, 9, 29"
repaglinide,Myocardial infarction,"2020, 11, 30","2002, 8, 23"
repaglinide,Myocardial ischaemia,"2022, 6, 10","2004, 9, 29"
repaglinide,Electrocardiogram abnormal,NA,#N/A
ofloxacin,Cardiac arrest,"2022, 8, 3","2012, 5, 18"
ofloxacin,Tachycardia,"2022, 8, 23","2001, 1, 5"
ofloxacin,Cardiovascular disorder,"2022, 12, 6","2017, 5, 26"
ofloxacin,Endocarditis,"2022, 12, 6","2002, 11, 9"
ofloxacin,Cardiac disorder,"2022, 9, 13","2014, 5, 7"
ofloxacin,Cardiac failure,"2022, 9, 13","2001, 4, 27"
ofloxacin,Myocardial infarction,"2021, 11, 5","2002, 6, 25"
ofloxacin,Supraventricular tachycardia,NA,#N/A
ofloxacin,Ventricular tachycardia,"2022, 8, 23","2001, 1, 5"
ofloxacin,Electrocardiogram QT prolonged,"2022, 9, 2","2000, 11, 15"
ofloxacin,Bradycardia,"2016, 5, 21","2005, 3, 12"
olanzapine,Cardiac arrest,"2022, 3, 26","2003, 8, 16"
olanzapine,Cardiac disorder,"2022, 7, 7","2010, 3, 3"
olanzapine,Cardiac failure,"2022, 7, 7","2004, 3, 5"
olanzapine,Cardiac failure congestive,"2022, 7, 7","2004, 3, 5"
olanzapine,Tachycardia,"2022, 10, 7","2001, 2, 24"
olanzapine,Ventricular tachycardia,"2022, 2, 10","2001, 3, 10"
olanzapine,Cardiac fibrillation,"2015, 10, 9","2002, 12, 31"
olanzapine,Bradycardia,"2022, 7, 2","2001, 2, 24"
olanzapine,Electrocardiogram change,"2022, 9, 24","2000, 9, 15"
olanzapine,Electrocardiogram QT corrected interval prolonged,"2022, 9, 24","2001, 3, 10"
olanzapine,Electrocardiogram QT prolonged,"2022, 5, 28","2001, 2, 24"
ondansetron,Cardiovascular disorder,"2022, 12, 2","2014, 6, 11"
ondansetron,Cardiac disorder,"2022, 12, 2","2010, 9, 21"
ondansetron,Myocardial infarction,"2022, 9, 17","2005, 11, 18"
ondansetron,Tachycardia,"2022, 11, 23","2000, 2, 11"
ondansetron,Supraventricular tachycardia,"2018, 12, 6","2010, 11, 26"
ondansetron,Myocardial ischaemia,"2022, 1, 25","2000, 3, 17"
ondansetron,Bradycardia,"2022, 11, 23","2004, 3, 11"
ondansetron,Electrocardiogram ST segment depression,NA,#N/A
ondansetron,Cardio-respiratory arrest,"2022, 1, 12","2014, 4, 4"
ondansetron,Electrocardiogram QT corrected interval prolonged,"2022, 12, 2","2008, 7, 24"
ondansetron,Electrocardiogram QT prolonged,"2022, 12, 2","2005, 9, 1"
orphenadrine,Tachycardia,"2022, 6, 1","2006, 5, 17"
oxaprozin,Cardiac failure congestive,NA,#N/A
oxaprozin,Myocardial infarction,NA,#N/A
oxaprozin,Tachycardia,NA,#N/A
oxprenolol,Cardiac failure,"2022, 8, 28","2002, 9, 17"
oxprenolol,Bradycardia,"2019, 9, 27","2019, 9, 27"
oxybutynin,Cardiac disorder,"2020, 12, 29","2002, 5, 25"
oxybutynin,Tachycardia,"2006, 10, 3","2002, 1, 5"
oxycodone,Cardiac arrest,"2018, 5, 4","2002, 9, 5"
oxycodone,Cardiac disorder,"2022, 11, 12","2000, 10, 12"
oxycodone,Cardiac failure,"2020, 12, 9","2007, 11, 6"
oxycodone,Tachycardia,"2022, 6, 7","2005, 9, 10"
oxycodone,Supraventricular tachycardia,"2018, 8, 3","2010, 11, 30"
oxycodone,Ventricular tachycardia,"2018, 8, 3","2008, 7, 10"
oxycodone,Bradycardia,"2022, 4, 29","2005, 8, 30"
oxycodone,Electrocardiogram ST segment depression,"2000, 10, 12","2000, 10, 12"
oxycodone,Cardiovascular insufficiency,"2021, 4, 22","2017, 8, 6"
oxymorphone,Cardiac disorder,"2022, 7, 22","2005, 8, 23"
oxymorphone,Tachycardia,"2017, 7, 19","2017, 7, 19"
oxymorphone,Bradycardia,"2002, 7, 1","2002, 7, 1"
paclitaxel,Cardiac arrest,"2022, 11, 8","2002, 6, 18"
paclitaxel,Cardiac disorder,"2022, 11, 2","2020, 4, 24"
paclitaxel,Cardiac failure,"2022, 10, 22","2016, 4, 10"
paclitaxel,Cardiac failure congestive,"2022, 10, 22","2014, 11, 27"
paclitaxel,Myocardial infarction,"2022, 12, 3","2018, 1, 30"
paclitaxel,Tachycardia,"2022, 9, 11","2000, 8, 6"
paclitaxel,Sinus tachycardia,"2014, 2, 6","2003, 11, 19"
paclitaxel,Supraventricular tachycardia,"2022, 9, 11","2010, 6, 16"
paclitaxel,Ventricular tachycardia,"2022, 3, 29","2007, 6, 1"
paclitaxel,Sinus bradycardia,"2012, 7, 28","2003, 9, 30"
paclitaxel,Myocardial ischaemia,"2022, 12, 3","2020, 8, 11"
paclitaxel,Bradycardia,"2021, 4, 11","2003, 9, 30"
paclitaxel,Electrocardiogram abnormal,"2022, 5, 10","2001, 11, 20"
paclitaxel,Cardiomyopathy,"2022, 10, 28","2001, 3, 7"
pancuronium,Tachycardia,"2021, 1, 20","2002, 8, 1"
paroxetine,Cardiac output decreased,NA,#N/A
paroxetine,Cardiac disorder,"2022, 8, 25","2008, 9, 13"
paroxetine,Cardiac failure congestive,"2022, 7, 29","2004, 3, 5"
paroxetine,Myocardial infarction,"2022, 9, 23","2000, 9, 30"
paroxetine,Tachycardia,"2022, 3, 30","2001, 4, 28"
paroxetine,Sinus tachycardia,"2005, 5, 5","2000, 8, 10"
paroxetine,Supraventricular tachycardia,"2000, 8, 10","2000, 8, 10"
paroxetine,Ventricular tachycardia,"2017, 3, 30","2000, 8, 10"
paroxetine,Myocardial ischaemia,"2022, 8, 25","2000, 9, 30"
paroxetine,Bradycardia,"2022, 9, 23","2000, 3, 31"
paroxetine,Electrocardiogram abnormal,"2019, 12, 18","2000, 8, 10"
paroxetine,Electrocardiogram QT corrected interval prolonged,"2017, 3, 17","2005, 4, 23"
paroxetine,Electrocardiogram QT prolonged,"2021, 10, 20","2003, 12, 4"
penbutolol,Bradycardia,"2014, 3, 4","2014, 3, 4"
penciclovir,Cardiac disorder,NA,#N/A
pentazocine,Tachycardia,"2013, 9, 1","2006, 1, 20"
pentazocine,Cardiovascular insufficiency,NA,#N/A
pentobarbital,Bradycardia,"2022, 11, 4","2000, 9, 9"
pentoxifylline,Tachycardia,"2019, 6, 28","2000, 12, 7"
pergolide,Cardiac arrest,NA,#N/A
pergolide,Cardiac failure congestive,"2016, 11, 1","2000, 11, 9"
pergolide,Myocardial infarction,NA,#N/A
pergolide,Pericarditis,"2009, 1, 27","2002, 1, 18"
pergolide,Tachycardia,"2020, 8, 17","2020, 8, 17"
pergolide,Ventricular tachycardia,NA,#N/A
pergolide,Bradycardia,NA,#N/A
pergolide,Electrocardiogram abnormal,"2008, 6, 19","2008, 6, 19"
perphenazine,Cardiac arrest,"2022, 2, 10","2022, 2, 10"
perphenazine,Tachycardia,"2022, 2, 10","2022, 2, 10"
perphenazine,Bradycardia,"2020, 3, 4","2020, 3, 4"
phenobarbital,Bradycardia,"2022, 3, 24","2000, 11, 7"
phenoxybenzamine,Tachycardia,"2022, 7, 9","2003, 6, 19"
phentermine,Cardiac arrest,"2009, 10, 28","2002, 2, 9"
phentermine,Cardiac failure,"2022, 4, 18","2001, 2, 24"
phentermine,Cardiac valve disease,"2022, 2, 15","2000, 2, 16"
phentermine,Myocardial infarction,"2021, 7, 3","2007, 11, 6"
phentermine,Tachycardia,"2021, 3, 10","2008, 7, 9"
phenylephrine,Cardiac disorder,"2022, 11, 23","2021, 2, 16"
phenylephrine,Myocardial infarction,"2022, 10, 13","2007, 12, 7"
phenylephrine,Tachycardia,"2022, 10, 27","2012, 3, 27"
phenylephrine,Myocardial ischaemia,"2022, 10, 13","2011, 9, 29"
phenylephrine,Reflex bradycardia,"2022, 9, 14","2006, 10, 27"
phenylephrine,Bradycardia,"2022, 10, 27","2016, 12, 14"
phenylpropanolamine,Tachycardia,"2022, 7, 27","2001, 9, 5"
physostigmine,Bradycardia,"2020, 12, 10","2000, 8, 16"
pilocarpine,Myocardial infarction,"2015, 1, 16","2015, 1, 16"
pilocarpine,Tachycardia,"2021, 11, 20","2009, 9, 2"
pilocarpine,Bradycardia,"2021, 5, 20","2002, 5, 25"
pindolol,Cardiac disorder,"2020, 6, 4","2000, 3, 7"
pindolol,Cardiac failure,"2013, 12, 18","2000, 1, 29"
pindolol,Cardiac failure congestive,"2013, 12, 18","2000, 1, 29"
pindolol,Tachycardia,"2017, 8, 2","2007, 1, 4"
pindolol,Bradycardia,"2019, 9, 27","2019, 9, 27"
pioglitazone,Cardiac disorder,"2022, 11, 12","2017, 7, 1"
pioglitazone,Cardiac failure,"2022, 11, 12","2016, 4, 26"
pioglitazone,Cardiac failure congestive,"2022, 11, 12","2016, 4, 6"
pioglitazone,Myocardial infarction,"2022, 8, 11","2012, 3, 2"
pioglitazone,Myocardial ischaemia,"2022, 9, 15","2012, 10, 25"
pioglitazone,Electrocardiogram abnormal,"2021, 4, 10","2021, 4, 10"
pirbuterol,Tachycardia,NA,#N/A
pramipexole,Cardiac arrest,NA,#N/A
pramipexole,Cardiac disorder,"2022, 2, 23","2003, 11, 12"
pramipexole,Cardiomegaly,"2017, 10, 24","2006, 11, 10"
pramipexole,Cardiac failure,"2020, 8, 21","2005, 4, 6"
pramipexole,Cardiac failure congestive,"2020, 8, 21","2005, 4, 6"
pramipexole,Myocardial infarction,"2021, 2, 22","2016, 4, 12"
pramipexole,Tachycardia,"2014, 3, 8","2014, 3, 8"
pramipexole,Sinus tachycardia,NA,#N/A
pramipexole,Supraventricular tachycardia,NA,#N/A
pramipexole,Sinus bradycardia,NA,#N/A
pramipexole,Bradycardia,"2018, 12, 29","2010, 9, 21"
pravastatin,Cardiac disorder,"2022, 6, 30","2015, 8, 8"
pravastatin,Myocardial infarction,"2022, 9, 13","2010, 2, 13"
pravastatin,Cardiac pain,"2019, 2, 5","2000, 12, 29"
prazosin,Tachycardia,"2022, 9, 3","2000, 3, 23"
prazosin,Bradycardia,"2022, 10, 15","2000, 6, 14"
prednisolone,Hypertrophic cardiomyopathy,"2021, 1, 19","2001, 8, 22"
prednisolone,Cardiac arrest,"2022, 11, 23","2000, 3, 4"
prednisolone,Cardiomegaly,"2022, 5, 3","2000, 8, 22"
prednisolone,Cardiac failure congestive,"2022, 12, 4","2018, 5, 2"
prednisolone,Myocardial rupture,"2022, 10, 10","2004, 10, 7"
prednisolone,Myocardial infarction,"2022, 10, 10","2007, 6, 6"
prednisolone,Tachycardia,"2022, 11, 19","2006, 8, 9"
prednisolone,Bradycardia,"2022, 11, 5","2000, 4, 11"
prednisone,Hypertrophic cardiomyopathy,"2017, 11, 18","2000, 11, 30"
prednisone,Cardiac arrest,"2022, 6, 28","2000, 3, 23"
prednisone,Cardiomegaly,"2022, 3, 22","2000, 8, 10"
prednisone,Cardiac failure,"2022, 11, 11","2018, 5, 5"
prednisone,Cardiac failure congestive,"2022, 11, 11","2017, 11, 4"
prednisone,Myocardial rupture,"2019, 6, 15","2011, 10, 22"
prednisone,Myocardial infarction,"2022, 11, 1","2004, 9, 24"
prednisone,Tachycardia,"2022, 10, 29","2000, 11, 21"
prednisone,Bradycardia,"2022, 10, 18","2001, 9, 4"
prilocaine,Cardiac arrest,"2010, 4, 2","2007, 3, 8"
prilocaine,Cardiac failure,"2005, 10, 6","2005, 10, 6"
prilocaine,Myocardial depression,"2009, 11, 7","2009, 11, 7"
prilocaine,Bradycardia,"2014, 1, 1","2002, 4, 26"
procainamide,Cardiac arrest,"2022, 3, 25","2000, 3, 14"
procainamide,Cardiac disorder,"2022, 8, 19","2010, 7, 14"
procainamide,Cardiac failure,"2022, 1, 7","2000, 3, 15"
procainamide,Paroxysmal atrial tachycardia,"2018, 4, 24","2002, 4, 11"
procainamide,Atrial tachycardia,"2022, 3, 31","2000, 1, 22"
procainamide,Pericarditis,"2022, 3, 12","2002, 3, 19"
procainamide,Junctional tachycardia,"2021, 10, 21","2000, 4, 8"
procainamide,Supraventricular tachycardia,"2022, 3, 31","2000, 4, 8"
procainamide,Ventricular tachycardia,"2022, 1, 7","2001, 2, 28"
procainamide,Cardiac fibrillation,"2022, 5, 14","2000, 11, 18"
procainamide,Bradycardia,"2021, 8, 16","2000, 10, 31"
procainamide,Electrocardiogram QRS complex,"2021, 8, 16","2002, 3, 15"
procainamide,Electrocardiogram change,"2022, 5, 14","2000, 3, 29"
procaine,Cardiac output decreased,"2021, 12, 20","2011, 7, 12"
procaine,Cardiac arrest,"2022, 6, 2","2000, 2, 2"
procaine,Tachycardia,"2018, 12, 15","2000, 3, 9"
procaine,Bradycardia,"2022, 4, 19","2008, 9, 5"
procarbazine,Pericarditis,"2016, 12, 4","2016, 12, 4"
procarbazine,Tachycardia,"2002, 7, 13","2002, 7, 13"
procarbazine,Cardiotoxicity,"2020, 1, 3","2006, 6, 2"
prochlorperazine,Cardiac arrest,"2015, 2, 26","2015, 2, 26"
progesterone,Cardiac disorder,"2022, 11, 4","2016, 6, 9"
progesterone,Tachycardia,"2022, 5, 27","2001, 3, 20"
promethazine,Tachycardia,"2022, 1, 18","2005, 8, 12"
promethazine,Bradycardia,"2021, 8, 17","2002, 10, 9"
propafenone,Cardiac flutter,"2021, 6, 25","2000, 2, 23"
propafenone,Cardiac arrest,"2022, 4, 3","2000, 4, 29"
propafenone,Cardiac disorder,"2022, 9, 28","2016, 7, 8"
propafenone,Cardiac failure,"2022, 9, 16","2000, 2, 23"
propafenone,Cardiac failure congestive,"2022, 9, 16","2000, 2, 23"
propafenone,Cardiac murmur,NA,#N/A
propafenone,Pericarditis,NA,#N/A
propafenone,Tachycardia,"2022, 9, 10","2005, 12, 3"
propafenone,Supraventricular tachycardia,"2022, 3, 9","2000, 1, 29"
propafenone,Ventricular tachycardia,"2022, 9, 10","2000, 1, 29"
propafenone,Sinus bradycardia,"2020, 8, 11","2005, 1, 18"
propafenone,Electrocardiogram QT prolonged,"2022, 5, 7","2002, 10, 9"
propafenone,Bradycardia,"2022, 4, 21","2004, 10, 16"
propafenone,Electrocardiogram QRS complex,"2022, 8, 16","2001, 2, 24"
propafenone,Electrocardiogram abnormal,"2018, 8, 8","2004, 2, 24"
propafenone,Wide complex tachycardia,"2010, 6, 17","2000, 3, 10"
propafenone,Cardioactive drug level above therapeutic,"2003, 12, 26","2003, 12, 26"
propantheline,Tachycardia,"2001, 3, 29","2001, 3, 29"
propofol,Cardiac output decreased,"2022, 9, 24","2005, 10, 20"
propofol,Cardiac arrest,"2022, 12, 2","2015, 4, 25"
propofol,Cardiac failure,"2022, 11, 30","2014, 5, 23"
propofol,Myocardial infarction,"2022, 11, 11","2007, 10, 31"
propofol,Tachycardia,"2022, 10, 19","2017, 1, 4"
propofol,Supraventricular tachycardia,"2022, 10, 19","2001, 8, 10"
propofol,Ventricular tachycardia,"2022, 10, 19","2000, 1, 7"
